Flight_ID,Airline,Aircraft_Type,Origin,Destination,Scheduled_Departure,Actual_Departure,Scheduled_Arrival,Actual_Arrival,Delay_Cause,Cancelled,Turnaround_Time_Minutes
AI1000,SpiceJet,A320,DEL,CCU,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 02:30:00,2025-07-01 02:30:00,None,Yes,77
AI1001,Air India,A321,HYD,BOM,2025-07-01 01:00:00,2025-07-01 01:05:00,2025-07-01 02:00:00,2025-07-01 02:00:00,Technical,No,82
AI1002,IndiGo,A321,BOM,MAA,2025-07-01 02:00:00,2025-07-01 02:10:00,2025-07-01 04:30:00,2025-07-01 04:40:00,None,No,52
AI1003,Air India,B787,BOM,DEL,2025-07-01 03:00:00,2025-07-01 03:30:00,2025-07-01 05:30:00,2025-07-01 06:00:00,Crew,No,87
AI1004,SpiceJet,B737,DEL,MAA,2025-07-01 04:00:00,2025-07-01 04:05:00,2025-07-01 07:00:00,2025-07-01 07:05:00,ATC,Yes,88
AI1005,SpiceJet,B737,CCU,MAA,2025-07-01 05:00:00,2025-07-01 05:00:00,2025-07-01 07:30:00,2025-07-01 07:40:00,Ground Ops,No,84
AI1006,Vistara,A320,CCU,BOM,2025-07-01 06:00:00,2025-07-01 06:05:00,2025-07-01 08:30:00,2025-07-01 08:35:00,ATC,No,44
AI1007,Air India,A320,CCU,BOM,2025-07-01 07:00:00,2025-07-01 08:00:00,2025-07-01 09:30:00,2025-07-01 09:30:00,Crew,No,58
AI1008,IndiGo,B787,HYD,CCU,2025-07-01 08:00:00,2025-07-01 08:20:00,2025-07-01 11:00:00,2025-07-01 11:20:00,Crew,No,75
AI1009,Air India,B737,BLR,DEL,2025-07-01 09:00:00,2025-07-01 09:30:00,2025-07-01 11:00:00,2025-07-01 11:00:00,Technical,No,49
AI1010,Air India,A321,BLR,BOM,2025-07-01 10:00:00,2025-07-01 10:05:00,2025-07-01 12:30:00,2025-07-01 12:35:00,None,No,53
AI1011,SpiceJet,A321,CCU,BLR,2025-07-01 11:00:00,2025-07-01 11:20:00,2025-07-01 12:30:00,2025-07-01 12:50:00,Crew,No,79
AI1012,Air India,A321,CCU,MAA,2025-07-01 12:00:00,2025-07-01 12:05:00,2025-07-01 13:30:00,2025-07-01 13:35:00,Weather,Yes,65
AI1013,Air India,A320,MAA,HYD,2025-07-01 13:00:00,2025-07-01 13:30:00,2025-07-01 14:00:00,2025-07-01 14:00:00,ATC,Yes,48
AI1014,SpiceJet,B787,MAA,CCU,2025-07-01 14:00:00,2025-07-01 15:00:00,2025-07-01 16:00:00,2025-07-01 17:00:00,ATC,Yes,85
AI1015,SpiceJet,A320,BOM,DEL,2025-07-01 15:00:00,2025-07-01 15:15:00,2025-07-01 18:00:00,2025-07-01 18:15:00,Technical,No,71
AI1016,Air India,A320,BLR,HYD,2025-07-01 16:00:00,2025-07-01 16:05:00,2025-07-01 18:30:00,2025-07-01 18:35:00,Crew,No,45
AI1017,SpiceJet,A321,DEL,HYD,2025-07-01 17:00:00,2025-07-01 17:45:00,2025-07-01 20:00:00,2025-07-01 20:45:00,ATC,No,63
AI1018,Vistara,A320,BLR,HYD,2025-07-01 18:00:00,2025-07-01 18:00:00,2025-07-01 20:00:00,2025-07-01 20:15:00,ATC,No,87
AI1019,Air India,B787,MAA,DEL,2025-07-01 19:00:00,2025-07-01 19:00:00,2025-07-01 22:00:00,2025-07-01 23:00:00,ATC,No,47
AI1020,Vistara,A320,BLR,CCU,2025-07-01 20:00:00,2025-07-01 20:05:00,2025-07-01 22:00:00,2025-07-01 22:00:00,None,No,50
AI1021,SpiceJet,A320,CCU,DEL,2025-07-01 21:00:00,2025-07-01 21:05:00,2025-07-01 23:30:00,2025-07-01 23:35:00,None,No,74
AI1022,IndiGo,B787,BOM,CCU,2025-07-01 22:00:00,2025-07-01 22:45:00,2025-07-02 01:00:00,2025-07-02 01:45:00,Technical,No,64
AI1023,Air India,B737,MAA,DEL,2025-07-01 23:00:00,2025-07-01 23:05:00,2025-07-02 00:00:00,2025-07-02 00:00:00,Weather,No,62
AI1024,Vistara,A320,MAA,DEL,2025-07-02 00:00:00,2025-07-02 00:00:00,2025-07-02 03:00:00,2025-07-02 03:00:00,Ground Ops,No,36
AI1025,IndiGo,B787,CCU,BOM,2025-07-02 01:00:00,2025-07-02 01:20:00,2025-07-02 03:30:00,2025-07-02 03:50:00,Weather,No,33
AI1026,Air India,A320,HYD,BOM,2025-07-02 02:00:00,2025-07-02 02:15:00,2025-07-02 03:30:00,2025-07-02 03:45:00,Ground Ops,No,52
AI1027,Air India,B787,CCU,MAA,2025-07-02 03:00:00,2025-07-02 03:20:00,2025-07-02 06:00:00,2025-07-02 06:20:00,Technical,No,87
AI1028,Vistara,A320,HYD,MAA,2025-07-02 04:00:00,2025-07-02 04:05:00,2025-07-02 06:00:00,2025-07-02 06:05:00,Weather,Yes,56
AI1029,SpiceJet,A320,DEL,MAA,2025-07-02 05:00:00,2025-07-02 05:45:00,2025-07-02 08:00:00,2025-07-02 08:45:00,ATC,No,75
AI1030,Vistara,B737,BOM,MAA,2025-07-02 06:00:00,2025-07-02 06:30:00,2025-07-02 07:00:00,2025-07-02 07:30:00,ATC,No,69
AI1031,SpiceJet,A320,BOM,CCU,2025-07-02 07:00:00,2025-07-02 07:00:00,2025-07-02 08:00:00,2025-07-02 08:00:00,Crew,No,61
